-2211, 3499
963, -859
3717, 2557
2927, 398
1333, -2501
-1227, 344
-461, 1259
-461, 1259
4857, -1188
841, -5003
841, -5003
841, -5003
3260, 2344
3279, -2207
-1702, 1408
1067, 2119
1067, 2119
-2146, 1146
381, 2367
381, 2367
381, 2367
527, -422
-157, -568
-1731, -1152
-1619, 1570
-1619, 1570
-857, -2094
-2095, 66
-2095, 66
-2095, 66
-4814, 1580
-684, 4966
528, 790
822, -124
822, -124
-3018, -1412
-2490, 2304
-2490, 2304
-2490, 2304
-1418, 2171
1572, 2217
2264, 3267
3846, -907
3846, -907
964, 1841
1686, -133
1686, -133
1686, -133
1437, 1102
1488, -855
597, 2490
2726, 403
2726, 403
341, 412
338, -351
338, -351
338, -351
696, -2780
-2452, -1512
3524, 1990
3216, -2754
3216, -2754
4686, 3506
4830, -3114
4830, -3114
4830, -3114
3330, 2483
3087, -2072
-426, 1369
1175, 914
1175, 914
-2110, 1417
489, 2576
489, 2576
489, 2576
