1677, -211
-1539, 1425
-153, -1907
990, 1983
695, -2047
-492, -2625
-1365, 2693
-1365, 2693
-782, -1463
-519, 1603
-519, 1603
-519, 1603
-2815, 2219
3456, 300
-519, 231
88, 184
88, 184
3979, -1993
-4340, -994
-4340, -994
-4340, -994
-1780, -1751
711, 2280
-1538, 2899
3421, -1314
3421, -1314
520, -715
-453, 320
-453, 320
-453, 320
-2213, 2837
3738, -930
-1703, -3193
-128, 3388
-128, 3388
441, -5799
-3542, 4392
-3542, 4392
-3542, 4392
2185, 1382
-458, -2211
-447, -1748
-1284, 2029
-1284, 2029
-373, -2046
-940, 1837
-940, 1837
-940, 1837
-924, 4223
2849, -2742
744, 339
-209, -656
-209, -656
-1232, -865
591, 1536
591, 1536
591, 1536
-1744, 884
1882, 444
2752, 1134
-1600, -2592
-1600, -2592
-924, -1626
-432, 1520
-432, 1520
-432, 1520
1438, -1203
-2109, 304
1228, 1259
-325, -1556
-325, -1556
3698, 1759
-1321, -3506
-1321, -3506
-1321, -3506
-2692, -380
2279, 1741
2588, 2932
-5, -3995
-5, -3995
-1208, 5794
4663, -3325
4663, -3325
4663, -3325
1849, 1264
-647, -2282
-87, 1586
1361, -1096
1361, -1096
-285, -392
-331, 336
-331, 336
-331, 336
1605, 720
-1333, -1614
-3473, -168
2383, 2376
2383, 2376
3391, -1736
-3479, -978
-3479, -978
-3479, -978
667, -4197
-3042, 2942
97, 275
-48, 190
-48, 190
-575, -4193
-2426, 3592
-2426, 3592
-2426, 3592
2751, -780
-2579, -1286
557, 460
-161, -494
-161, -494
1665, 1304
-265, -2018
-265, -2018
-265, -2018
821, 371
-526, -456
-487, 1875
1670, -1440
1670, -1440
1433, -3361
-3368, 1518
-3368, 1518
-3368, 1518
1839, -114
-1353, -984
-2115, 3490
4307, -1610
4307, -1610
2779, 3262
-59, -4218
-59, -4218
-59, -4218
-2691, -42
2235, 1756
949, 2712
935, -3210
935, -3210
-985, 2756
2525, -1934
2525, -1934
2525, -1934
-3289, -647
1877, 2695
-1015, -1097
-201, 1537
-201, 1537
